CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,19,109,36
2,Male,32,32,95
3,Male,61,109,70
4,Male,55,69,5
5,Male,23,42,30
6,Male,53,40,92
7,Female,32,72,76
8,Female,69,126,1
9,Male,62,69,44
10,Female,27,42,98
11,Female,24,26,49
12,Male,40,123,45
13,Female,69,20,94
14,Female,52,30,49
15,Male,53,52,81
16,Female,54,39,91
17,Male,20,99,30
18,Female,23,124,30
19,Male,42,50,59
20,Female,28,62,46
21,Male,60,49,90
22,Male,56,96,22
23,Male,28,74,49
24,Female,58,103,72
25,Male,61,56,99
26,Male,32,120,5
27,Female,43,49,9
28,Male,54,127,92
29,Female,31,98,64
30,Female,59,73,19
31,Female,26,46,96
32,Female,65,89,55
33,Female,41,43,18
34,Female,23,111,7
35,Male,27,95,21
36,Female,56,23,50
37,Female,56,74,68
38,Female,53,125,2
39,Male,61,128,69
40,Female,67,97,44
41,Male,36,70,21
42,Female,18,137,93
43,Female,50,112,23
44,Male,58,53,82
45,Male,27,62,98
46,Male,52,137,68
47,Male,56,56,63
48,Male,25,133,47
49,Female,33,22,31
50,Male,23,108,63
51,Male,66,83,99
52,Male,26,99,61
53,Male,34,82,78
54,Female,31,133,70
55,Male,63,54,52
56,Female,46,130,67
57,Female,25,46,29
58,Male,39,17,76
59,Male,55,43,1
60,Male,63,95,8
61,Male,22,130,5
62,Female,22,80,31
63,Female,60,77,28
64,Male,64,134,74
65,Female,33,115,61
66,Female,30,27,13
67,Female,40,69,53
68,Female,64,21,87
69,Male,21,66,94
70,Female,69,125,14
71,Male,30,39,69
72,Female,26,69,24
73,Female,47,46,10
74,Female,69,125,71
75,Male,21,98,70
76,Male,23,133,97
77,Male,28,67,63
78,Female,31,125,52
79,Male,28,63,1
80,Female,34,133,59
81,Female,45,104,94
82,Female,27,39,38
83,Male,21,89,95
84,Male,65,55,8
85,Male,55,76,65
86,Male,21,137,66
87,Male,29,23,77
88,Male,61,125,31
89,Female,25,135,73
90,Male,55,91,6
91,Male,44,99,75
92,Female,34,41,86
93,Female,33,48,51
94,Male,60,97,39
95,Female,38,133,97
96,Male,18,73,80
97,Male,22,83,28
98,Female,26,134,45
99,Male,33,62,37
100,Male,46,121,70
101,Female,57,118,84
102,Male,60,119,71
103,Female,60,28,18
104,Female,25,128,14
105,Male,35,51,78
106,Male,63,58,27
107,Female,50,77,33
108,Male,23,96,55
109,Female,20,15,43
110,Male,58,48,21
111,Female,53,105,55
112,Male,25,24,89
113,Male,52,19,48
114,Male,45,31,6
115,Female,41,130,6
116,Female,31,102,32
117,Male,40,114,72
118,Female,57,110,20
119,Male,28,117,23
120,Female,19,37,95
121,Female,68,134,53
122,Male,35,35,90
123,Male,42,126,5
124,Female,32,40,59
125,Female,37,120,30
126,Male,19,99,25
127,Female,39,50,9
128,Female,40,97,66
129,Female,61,122,69
130,Female,19,29,34
131,Male,55,48,5
132,Male,56,70,45
133,Female,45,92,66
134,Male,42,130,74
135,Male,34,20,91
136,Female,18,81,69
137,Male,41,70,9
138,Female,57,55,85
139,Male,64,130,39
140,Female,60,67,42
141,Female,62,52,71
142,Male,30,68,86
143,Female,61,110,23
144,Female,43,85,1
145,Female,36,41,56
146,Female,47,71,57
147,Male,50,75,95
148,Male,60,25,37
149,Female,23,119,97
150,Male,61,54,29
151,Male,27,18,6
152,Male,48,93,99
153,Male,47,68,81
154,Male,63,104,50
155,Female,43,46,19
156,Male,66,125,99
157,Male,67,69,29
158,Male,69,137,90
159,Female,21,86,32
160,Male,47,32,60
161,Female,66,129,57
162,Female,53,72,21
163,Female,46,48,97
164,Male,58,50,99
165,Female,58,45,36
166,Female,22,106,37
167,Male,35,57,41
168,Male,26,34,30
169,Female,62,34,91
170,Male,22,68,53
171,Female,52,74,54
172,Male,31,121,54
173,Female,67,89,90
174,Male,66,88,49
175,Female,18,135,46
176,Female,66,64,54
177,Male,49,43,35
178,Female,49,18,50
179,Female,60,101,52
180,Male,47,132,17
181,Male,43,90,73
182,Male,23,97,55
183,Male,47,38,7
184,Female,42,56,28
185,Female,38,58,98
186,Female,35,111,54
187,Female,23,75,3
188,Male,40,43,84
189,Male,67,137,84
190,Male,66,18,32
191,Male,19,94,20
192,Male,26,75,86
193,Male,54,136,28
194,Female,62,47,99
195,Female,28,92,78
196,Male,67,119,21
197,Female,24,89,4
198,Female,54,101,49
199,Female,63,40,10
200,Male,24,104,99
